,회사명,채용공고 제목,링크
303,카카오헬스케어,데이터 엔지니어 (5년 이상),https://www.wanted.co.kr/wd/213695
304,피매치,백엔드 엔지니어,https://www.wanted.co.kr/wd/186801
305,공업사스토어,풀스택(JD) 개발자,https://www.wanted.co.kr/wd/213127
306,에스알파테라퓨틱스,Unity 개발자,https://www.wanted.co.kr/wd/212907
307,제이더블유홀딩스,IT기획(인프라) 담당자,https://www.wanted.co.kr/wd/214349
308,스윗코리아,"SRE, 클라우드 엔지니어 (8년 이상)",https://www.wanted.co.kr/wd/201897
309,마이플레이컴퍼니,"Python 백엔드 개발자 (B2B 서비스, 3년 이상)",https://www.wanted.co.kr/wd/206202
310,위메이드(WEMADE),기술PM(블록체인 게임 플랫폼),https://www.wanted.co.kr/wd/191955
311,크리스틴컴퍼니,백엔드 개발자 / 3년 이상 (서울),https://www.wanted.co.kr/wd/214993
312,한화생명보험,[COE부문] AI Modeling Engineer,https://www.wanted.co.kr/wd/211566
313,마스오토,소프트웨어 엔지니어 (자율주행),https://www.wanted.co.kr/wd/198840
314,대홍기획,백엔드 개발자 (DB개발),https://www.wanted.co.kr/wd/203255
315,교원,Android/ios 앱 개발,https://www.wanted.co.kr/wd/214830
316,뷰런테크놀로지,자율주행 인지 개발자,https://www.wanted.co.kr/wd/199355
317,쿼드마이너,[200억↑투자] 파이썬 개발자,https://www.wanted.co.kr/wd/191294
318,코딧(CODITCorp.),"프론트엔드 개발자 (리더, React.js 6년 이상)",https://www.wanted.co.kr/wd/93806
319,애드쉴드,Software Engineer,https://www.wanted.co.kr/wd/190392
320,이베이재팬(eBay),Information Security Engineer,https://www.wanted.co.kr/wd/200453
321,인피니티익스체인지코리아,물리보안 담당자,https://www.wanted.co.kr/wd/186342
322,다우기술,IDC 보안 엔지니어,https://www.wanted.co.kr/wd/131928
323,스카이웨어,"B2B/B2C 업무분석,설계,개발 팀장급 (PM,PL)",https://www.wanted.co.kr/wd/211483
324,보스반도체,임베디드 시스템 SW Engineer,https://www.wanted.co.kr/wd/142137
325,메라커,크로스플랫폼 QT 응용 프로그램 개발,https://www.wanted.co.kr/wd/214447
326,휴넷모두의코딩,디지털교과서 솔루션 프로젝트 PM (1년 계약직/전환가능),https://www.wanted.co.kr/wd/213479
327,파더스랩,Qt Application 개발자 (3년이상),https://www.wanted.co.kr/wd/214381
328,에타일렉트로닉스,"임베디드 S/W, F/W 엔지니어",https://www.wanted.co.kr/wd/99005
329,하이퍼커넥트,Sr. Machine Learning Engineer,https://www.wanted.co.kr/wd/182818
330,디랩스,블록체인 개발자,https://www.wanted.co.kr/wd/213187
331,엠로(emro),정보전략 담당자,https://www.wanted.co.kr/wd/202606
332,라온버드,풀스택 개발자 리더급,https://www.wanted.co.kr/wd/212201
333,와트,안드로이드 개발자,https://www.wanted.co.kr/wd/206502
334,피노라이크,IT 정보 보안 엔지니어 개발자,https://www.wanted.co.kr/wd/206731
335,씨어스테크놀로지,의료기기 알고리즘 개발자,https://www.wanted.co.kr/wd/211766
336,베슬에이아이(VESSL AI),Backend Engineer (Senior),https://www.wanted.co.kr/wd/207873
337,굳갱랩스,AI 개발자,https://www.wanted.co.kr/wd/156373
338,바이온사이트,MLOps Engineer,https://www.wanted.co.kr/wd/190099
339,블루밍비트,React Native 모바일 앱 개발자 (3년 이상),https://www.wanted.co.kr/wd/212801
340,아우름플래닛(Liner),[100억↑투자] 시니어 프론트엔드 엔지니어,https://www.wanted.co.kr/wd/210921
341,그립컴퍼니,비디오 스트림 개발(미드-레벨),https://www.wanted.co.kr/wd/209218
342,대보정보통신,TA (8년이상),https://www.wanted.co.kr/wd/187489
343,하이퍼놀로지,AI 응용 S/W 개발자,https://www.wanted.co.kr/wd/205354
344,빗썸코리아,[빗썸] SRE/공통 서비스 개발자,https://www.wanted.co.kr/wd/195760
345,차란차,WEB3 블록체인 개발 리더 (10년 이상),https://www.wanted.co.kr/wd/209579
346,아이티엑스-에이아이(ITX-AI),임베디드 리눅스 FW개발자,https://www.wanted.co.kr/wd/209770
347,엔닷라이트,AI 엔지니어 (2년 이상),https://www.wanted.co.kr/wd/202060
348,딥바이오,Backend Software Engineer,https://www.wanted.co.kr/wd/198091
349,호패,Lead Backend Engineer (Deep Tech),https://www.wanted.co.kr/wd/151583
350,댄스트럭트,리더급 프로덕트 개발자 (6년 이상),https://www.wanted.co.kr/wd/201548
351,카카오VX,정보보안팀 서비스 보안 담당자,https://www.wanted.co.kr/wd/213464
352,에니아이(Aniai),Firmware Engineer,https://www.wanted.co.kr/wd/138074
353,액션파워,머신러닝 엔지니어 / AI Researcher,https://www.wanted.co.kr/wd/23634
354,휴스테이션,"Frontend/Backend, Full-stack 개발자 (10년 이상)",https://www.wanted.co.kr/wd/211387
355,클로버추얼패션(CLOVirtualFashion),IT Operations Engineer,https://www.wanted.co.kr/wd/183816
356,클레,3차원 머신비전 알고리즘 개발자,https://www.wanted.co.kr/wd/134568
357,큐픽스,"영상처리, 컴퓨터비전/딥러닝 (전문연구요원 가능)",https://www.wanted.co.kr/wd/204910
358,한글과컴퓨터,기술지원(컨설턴트),https://www.wanted.co.kr/wd/213332
359,아더월드,프론트엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/207945
360,플래티어,형상관리 솔루션 엔지니어,https://www.wanted.co.kr/wd/195384
361,리젠부스터,백엔드 개발자,https://www.wanted.co.kr/wd/214232
362,비에이치에스엔,LLM DATA PM (3년 이상),https://www.wanted.co.kr/wd/214863
363,로우키코드(DELIGHT LABS),Blockchain Platform Engineer,https://www.wanted.co.kr/wd/190071
364,에이스웍스코리아,Perception Engineer - Deep learning,https://www.wanted.co.kr/wd/205450
365,메디웨일,Product Manager,https://www.wanted.co.kr/wd/196601
366,휴넷모두의코딩,디지털교과서 asp.net 시니어 개발자 (1년 계약직/전환가능),https://www.wanted.co.kr/wd/213478
367,이마고웍스,[100억↑투자] Data Pipeline Team Leader,https://www.wanted.co.kr/wd/197658
368,어니스트펀드,CSS솔루션 매니저,https://www.wanted.co.kr/wd/176033
369,베스텔라랩,자율주행 연구원(경기/대구)(전문연구요원가능),https://www.wanted.co.kr/wd/111438
370,플로틱,Optimization Research Engineer,https://www.wanted.co.kr/wd/199571
371,아우름플래닛(Liner),[100억↑투자] ML 엔지니어 (LLM Application),https://www.wanted.co.kr/wd/170436
372,피어테크(지닥),디지털 자산 운용 퀀트 개발자,https://www.wanted.co.kr/wd/212025
373,알테어엔지니어링,Sr. Software Development Engineer - Fullstack,https://www.wanted.co.kr/wd/211612
374,시나몬,[200억↑투자] Devops Engineer,https://www.wanted.co.kr/wd/175379
375,드리븐,웹퍼블리셔(웹디자인/3년 이상),https://www.wanted.co.kr/wd/213759
376,이노그리드,[하이브리드 플랫폼팀] SW개발 (프론트) / 선임,https://www.wanted.co.kr/wd/206592
377,덴컴,Back-end Tech Leader,https://www.wanted.co.kr/wd/212287
378,아파트멘터리,"[100억↑투자] 백엔드 개발자 (NodeJs, NestJs)",https://www.wanted.co.kr/wd/213384
379,알서포트(Rsupport),네트워크 서버/라이브러리 개발자 (3년 이상),https://www.wanted.co.kr/wd/212213
380,시나몬,[200억↑투자] AI Research Engineer(Image/Video generation),https://www.wanted.co.kr/wd/205150
381,버티고우게임즈 (Vertigo Games),시니어 풀스택 개발자,https://www.wanted.co.kr/wd/203471
382,플래티어,[그루비 SaaS 솔루션] 플랫폼개발팀 매니저,https://www.wanted.co.kr/wd/211197
383,그로들,프론트엔드 개발자 (8년 이상/시니어),https://www.wanted.co.kr/wd/210874
384,와이지플러스(YG PLUS),IT기획운영팀 Data Engineer(3년~6년),https://www.wanted.co.kr/wd/214305
385,앤서스랩코리아,[DX]Data Processing Engineer,https://www.wanted.co.kr/wd/126877
386,카운터컬쳐컴퍼니(ED KPOP),프론트엔드 개발 팀장,https://www.wanted.co.kr/wd/210572
387,그리드위즈,시스템 프로그램 개발 (E-Mobility본부),https://www.wanted.co.kr/wd/199610
388,지니언스,엔드포인트보안연구개발실 Infra개발,https://www.wanted.co.kr/wd/207709
389,이씨에스텔레콤,UC솔루션 개발자 (5년 이상),https://www.wanted.co.kr/wd/206332
390,이수시스템,인사솔루션 프로젝트 PM,https://www.wanted.co.kr/wd/205363
391,아이엠에스이,프론트엔드 개발자,https://www.wanted.co.kr/wd/203469
392,온코메드,알파핵종 알고리즘 개발자,https://www.wanted.co.kr/wd/208699
393,데이원컴퍼니,[레모네이드] 백엔드 개발자,https://www.wanted.co.kr/wd/214539
394,굿터치,게임 QA (계약),https://www.wanted.co.kr/wd/208623
395,에이펙스이에스씨,"소프트웨어 개발(JAVA, Spring boot, Backend)",https://www.wanted.co.kr/wd/209415
396,데이터라이즈,[100억↑투자] Data Analytics Engineer(2년 이상),https://www.wanted.co.kr/wd/177620
397,룰루랩(lululab),피부진단 솔루션 개발 (AI개발자),https://www.wanted.co.kr/wd/165157
398,현대캐피탈,글로벌 IT 시스템 구축,https://www.wanted.co.kr/wd/211688
399,피어테크(지닥),프론트엔드 개발 리드,https://www.wanted.co.kr/wd/212040
400,비엘큐(테스트밸리),[100억↑투자] 모바일 App 개발자(Flutter),https://www.wanted.co.kr/wd/181248
401,이스트게임즈,게임 클라이언트 개발자,https://www.wanted.co.kr/wd/72109
402,씨드로닉스,Back-end (AI Data Platform),https://www.wanted.co.kr/wd/40215
403,펑타이그레이터차이나(피티코리아),이커머스 웹페이지 퍼블리셔,https://www.wanted.co.kr/wd/117474
404,레전더리홀딩스,[윈골드] 서비스 기획자,https://www.wanted.co.kr/wd/199755
405,딥세일즈,"백엔드 개발자 Node.js, Python/5년 이상",https://www.wanted.co.kr/wd/211459
406,마인드시프트 ,시스템 엔지니어,https://www.wanted.co.kr/wd/214783
407,모본,무선 통신개발 S/W (신입),https://www.wanted.co.kr/wd/213774
408,클라우드호스피탈,시니어 DevOps 엔지니어 (Kubernetes),https://www.wanted.co.kr/wd/210240
409,유진로봇,자율주행솔루션사업부 백엔드 개발자,https://www.wanted.co.kr/wd/212887
410,트루엔,AI 개발자,https://www.wanted.co.kr/wd/212809
411,이파피루스,Frontend 개발자(팀장급),https://www.wanted.co.kr/wd/212797
412,오픈플랜,Front-End Senior 개발자 (React 기반),https://www.wanted.co.kr/wd/208585
413,고영테크놀러지,의료 Vision 알고리즘/SW 개발,https://www.wanted.co.kr/wd/212812
414,어니스트펀드,시스템 및 솔루션 매니저 (1~3년),https://www.wanted.co.kr/wd/211725
415,모빌린트,[200억↑투자] NPU Compiler Engineer (전문연구요원 가능),https://www.wanted.co.kr/wd/117659
416,마스오토,머신러닝 엔지니어,https://www.wanted.co.kr/wd/198842
417,알서포트(Rsupport),프론트엔드 개발 팀장 (7년 이상),https://www.wanted.co.kr/wd/197145
418,어센트코리아(Ascent Korea),데이터 사이언스 (5년이상),https://www.wanted.co.kr/wd/151703
419,큐픽스,Cloud Infra Engineer (전문연구요원 가능),https://www.wanted.co.kr/wd/207854
420,법틀,SW 웹(Back-End / Front) PL개발자 (5년 이상 ~ 7년 이하),https://www.wanted.co.kr/wd/208239
421,피노라이크,IT 정보 보안 엔지니어 신입,https://www.wanted.co.kr/wd/206730
422,콜게이트,[100억↑투자] Back End 개발 (7년이상),https://www.wanted.co.kr/wd/198863
423,다누시스,연구소 AI / C++ 개발자,https://www.wanted.co.kr/wd/210701
424,하이퍼커넥트,Sr. Site Reliability Engineer,https://www.wanted.co.kr/wd/212319
425,밀리의서재,DBA 매니저,https://www.wanted.co.kr/wd/214596
426,페이히어,[200억↑투자] DBA (Database Administrator),https://www.wanted.co.kr/wd/178276
427,엔에스원소프트,백엔드 개발자(5-10년),https://www.wanted.co.kr/wd/163902
428,팀42,[마피아42] iOS 개발,https://www.wanted.co.kr/wd/214786
429,티비유,Data Engineer,https://www.wanted.co.kr/wd/172270
430,수퍼톤,[400억↑투자] ML Engineer (5년 이상),https://www.wanted.co.kr/wd/212794
431,마키나락스,시니어 머신러닝 엔지니어,https://www.wanted.co.kr/wd/104901
432,핀크(Finnq),모바일 앱 보안솔루션 개발(SDK),https://www.wanted.co.kr/wd/213674
433,케이존,시니어 프론트엔드 개발자(3년차 이상),https://www.wanted.co.kr/wd/212955
434,하이지노,ioT 개발자,https://www.wanted.co.kr/wd/211011
435,더즌(dozn),"웹서비스개발팀 프론트엔드개발자(Senior, 5년이상)",https://www.wanted.co.kr/wd/183252
436,퀀텀리프,웹 퍼블리셔,https://www.wanted.co.kr/wd/208138
437,비에프에이아이,글로벌 AI 마켓플레이스 개발자 - 코파운더급,https://www.wanted.co.kr/wd/211339
438,디오티스,웹 디자인 가능 퍼블리셔,https://www.wanted.co.kr/wd/214893
439,휴먼컨설팅그룹,정보보호 담당,https://www.wanted.co.kr/wd/209663
440,파킹클라우드,웹프론트엔드 개발자,https://www.wanted.co.kr/wd/204751
441,카카오VX,정보보안팀 인프라 보안 담당자,https://www.wanted.co.kr/wd/213581
442,엔라이즈(NRISE),[100억↑투자] Site Reliability Engineer (SRE),https://www.wanted.co.kr/wd/184041
443,에이치투오시스템테크놀로지,프론트엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/207654
444,클래스팅(Classting),ML Ops Engineer,https://www.wanted.co.kr/wd/196518
445,로민,백엔드 엔지니어,https://www.wanted.co.kr/wd/213368
446,리얼드로우,AI Researcher (이미지 생성 모델링) 리더급,https://www.wanted.co.kr/wd/203095
447,아이스크림에듀,머신러닝 엔지니어,https://www.wanted.co.kr/wd/198855
448,마키나락스,머신러닝 엔지니어 (강화학습),https://www.wanted.co.kr/wd/96265
449,플라네타리움랩스코리아,[400억↑투자] 소프트웨어 엔지니어 (7년 이상),https://www.wanted.co.kr/wd/208942
450,클레,데스크탑 앱 개발자,https://www.wanted.co.kr/wd/134575
451,퓨처센스(FutureSense),리액트 네이티브 FE 개발자,https://www.wanted.co.kr/wd/211472
452,콘센트릭스서비스코리아CATALYST,글로벌 웹개발 리더,https://www.wanted.co.kr/wd/200770
453,모다플,백엔드 엔지니어,https://www.wanted.co.kr/wd/207634
454,뱅크엑스,시니어 백엔드 개발자,https://www.wanted.co.kr/wd/158906
455,컨택스츠아이오(NFTBank),Software Engineer-Data,https://www.wanted.co.kr/wd/198778
456,발란(BALAAN),DevOps 엔지니어,https://www.wanted.co.kr/wd/210528
457,슈어소프트테크,[Automotive검증3/4팀] 검증,https://www.wanted.co.kr/wd/212574
458,시너지에이아이,의료 AI 연구 팀장,https://www.wanted.co.kr/wd/213834
459,라이브데이터,Data Engineer(Data Pipeline/Lake/API Part),https://www.wanted.co.kr/wd/200273
460,버킷플레이스(오늘의집),Senior Technical Program Manager,https://www.wanted.co.kr/wd/153976
461,스퀘어스,프론트엔드 시니어/리드 개발자 - 노코드 웹빌더(5년 이상),https://www.wanted.co.kr/wd/204756
462,창업인(changupin),테이블로 PHP 백엔드 개발자 (5~10년),https://www.wanted.co.kr/wd/208857
463,하이퍼커넥트,Sr. Machine Learning Software Engineer,https://www.wanted.co.kr/wd/197523
464,네오사피엔스(타입캐스트),AI optimization engineer,https://www.wanted.co.kr/wd/211870
465,엔에스에이치씨(NSHC),LLVM 연구소 연구원,https://www.wanted.co.kr/wd/212913
466,Sendbird(센드버드),Data Platform Engineer,https://www.wanted.co.kr/wd/212811
467,테크핀레이팅스,서비스 기획/설계,https://www.wanted.co.kr/wd/208439
468,바이온사이트,ML Engineer,https://www.wanted.co.kr/wd/167442
469,모던라이언,[Blockchain Team] 블록체인 개발자 (4년 이상),https://www.wanted.co.kr/wd/209692
470,브레인커머스,[잡플래닛]Sr.Frontend Engineer -잡시커플랫폼,https://www.wanted.co.kr/wd/214705
471,오픈엣지테크놀로지,IT Admin,https://www.wanted.co.kr/wd/210335
472,웅진,DBA(4년 이상),https://www.wanted.co.kr/wd/214393
473,노을(Noul),시스템 소프트웨어 개발자,https://www.wanted.co.kr/wd/213867
474,스튜디오랩(STUDIO LAB),머신러닝 엔지니어 - 컴퓨터 비전,https://www.wanted.co.kr/wd/82388
475,아데나소프트웨어,[300억↑투자] DevOps Engineer,https://www.wanted.co.kr/wd/145853
476,서림테크놀로지,연구개발(S/W),https://www.wanted.co.kr/wd/208370
477,펑타이그레이터차이나(피티코리아),플랫폼 Back-End 개발/운영,https://www.wanted.co.kr/wd/154140
478,포스페이스랩,Backend Developer,https://www.wanted.co.kr/wd/121303
479,테크랩스,웹 개발자(PHP) (브랜드엑셀러레이팅사업부/개발팀),https://www.wanted.co.kr/wd/190510
480,디매치업,[신규 서비스팀] 신규 앱 서비스 개발,https://www.wanted.co.kr/wd/214925
481,플루고코리아,[100억↑투자] Product Owner (3년 이상),https://www.wanted.co.kr/wd/204110
482,메이크스타,[100억↑투자] DevOps Engineer (3년 이상),https://www.wanted.co.kr/wd/203273
483,11시11분,광고 플랫폼 개발자(팀 리더급),https://www.wanted.co.kr/wd/118589
484,아더월드,DevOps 엔지니어 (5년 이상),https://www.wanted.co.kr/wd/168137
485,아파트아이,JAVA 백엔드 개발자(과장급),https://www.wanted.co.kr/wd/209916
486,엘박스,[200억↑투자] AI Team Lead,https://www.wanted.co.kr/wd/211045
487,에너자이(ENERZAi),(전문연구요원 가능) Runtime 소프트웨어 엔지니어,https://www.wanted.co.kr/wd/185538
488,클로버추얼패션(CLOVirtualFashion),Compliance Security Manager,https://www.wanted.co.kr/wd/133409
489,디카르고,블록체인 기술 개발자,https://www.wanted.co.kr/wd/204798
490,힐세리온,초음파 알고리즘 엔지니어,https://www.wanted.co.kr/wd/192673
491,통하는사람들,프론트엔드 개발자(React Native) (3년 이상),https://www.wanted.co.kr/wd/207433
492,슈어소프트테크,[Automotive검증2팀] 검증 (군포),https://www.wanted.co.kr/wd/212571
493,스마트캐스트,C++ 개발 연구원(3년 이상),https://www.wanted.co.kr/wd/137606
494,비에스지파트너스,AWS SA. 클라우드운영,https://www.wanted.co.kr/wd/210731
495,애니펜,[100억↑투자] NLP(자연어 처리) 딥러닝 개발자,https://www.wanted.co.kr/wd/176108
496,와탭랩스(WhaTapLabs),[100억↑투자] DB 전문 엔지니어,https://www.wanted.co.kr/wd/212145
497,에스티로직(STLogic),C/C++ GPU DB 제품 개발,https://www.wanted.co.kr/wd/142203
498,임플로이랩스,[잡브레인] 앱/웹 플랫폼 개발 리드 (Engineer) (5-15년),https://www.wanted.co.kr/wd/213113
499,에너넷,H/W 개발,https://www.wanted.co.kr/wd/210940
500,에이아이에이생명(AIA생명),AI-Based System Developer,https://www.wanted.co.kr/wd/207048
501,이지스엔터프라이즈,[DX팀] 프론트엔드 개발자(시니어),https://www.wanted.co.kr/wd/204788
502,투블럭에이아이,파이썬 백엔드 개발자,https://www.wanted.co.kr/wd/163255
503,덴컴,"음성 전처리, 신호처리, 마이크 엔지니어",https://www.wanted.co.kr/wd/212290
504,헥토데이터,시스템 관리자,https://www.wanted.co.kr/wd/206898
505,통신대안평가준비법인,Head of Data (CIAP),https://www.wanted.co.kr/wd/202960
506,넷커스터마이즈,임베디드 SW 개발자 (신입),https://www.wanted.co.kr/wd/208508
507,씨드로닉스,Deep learning(이미지) 연구/개발,https://www.wanted.co.kr/wd/70433
508,프리윌린,[100억↑투자] 매쓰플랫 백엔드 개발자 (3년 이상),https://www.wanted.co.kr/wd/200463
509,휴머스온,솔루션 개발팀장 (10~15년 이하),https://www.wanted.co.kr/wd/137802
510,타임퍼센트,트레이딩 플랫폼 백엔드 개발,https://www.wanted.co.kr/wd/134641
511,리디(RIDI),풀스택 소프트웨어 엔지니어,https://www.wanted.co.kr/wd/213340
512,넥스트랩,리눅스 응용프로그램 개발자,https://www.wanted.co.kr/wd/207633
513,포티투닷(42dot),Senior Frontend Engineer (Logistics),https://www.wanted.co.kr/wd/213183
514,유에이치씨,다이나믹 프라이싱 모델 AI / 딥러닝 개발자,https://www.wanted.co.kr/wd/204186
515,코딧(CODITCorp.),"시니어 백엔드 개발자 (Node.js, 5년 이상)",https://www.wanted.co.kr/wd/46260
516,대보정보통신,DBA (8년이상),https://www.wanted.co.kr/wd/187487
517,스카이웨어,Salesforce 엔지니어,https://www.wanted.co.kr/wd/210643
518,로앤컴퍼니(lawtalk),프론트엔드 개발자 (7년이상),https://www.wanted.co.kr/wd/209253
519,브릭,S/W 제품 및 IT 서비스 기획자,https://www.wanted.co.kr/wd/212848
520,아주큐엠에스,시스템 엔지니어,https://www.wanted.co.kr/wd/212083
521,마스오토,리서치 엔지니어 (state estimation),https://www.wanted.co.kr/wd/198845
522,온다(ONDA),[100억↑투자] 부킹온랩 개발 리더,https://www.wanted.co.kr/wd/193331
523,미소(miso),DevOps Engineer (5년 이상),https://www.wanted.co.kr/wd/189240
524,윌로그,FW 펌웨어 개발자(5년 이상),https://www.wanted.co.kr/wd/210875
525,와이즈버즈(wisebirds),백엔드 개발자 (팀장급/6년 이상),https://www.wanted.co.kr/wd/171162
526,브레인커머스,[잡플래닛] 정보보안 담당자,https://www.wanted.co.kr/wd/210697
527,소리애셋,시스템 트레이딩 개발자,https://www.wanted.co.kr/wd/209918
528,다임리서치,[100억↑투자] Unity 3D 개발자 (디지털 트윈),https://www.wanted.co.kr/wd/194214
529,오케스트로,Opensource Engineer,https://www.wanted.co.kr/wd/213451
530,엘리스,정보보안 엔지니어,https://www.wanted.co.kr/wd/208429
531,케어네이션,백엔드(PHP) 개발자,https://www.wanted.co.kr/wd/185427
532,샵라이브,Software Engineer (iOS) - 5년이상,https://www.wanted.co.kr/wd/85633
533,포티투닷(42dot),Performance Optimization Engineer,https://www.wanted.co.kr/wd/206899
534,무한정보기술,솔루션 개발,https://www.wanted.co.kr/wd/215009
535,야놀자Tech(R&D),Data Engineer - Infra,https://www.wanted.co.kr/wd/214957
536,글로우(GLOW),웹 사이트 운영 기획자,https://www.wanted.co.kr/wd/191140
537,슈가힐(네모),PO/기획 (3년 이상),https://www.wanted.co.kr/wd/206192
538,아키드로우,SRE Team Lead,https://www.wanted.co.kr/wd/214460
539,플랫브레드,PHP 개발자 (5년 이상),https://www.wanted.co.kr/wd/208216
540,넷스루,데이터솔루션엔지니어 수행 팀원 담당자,https://www.wanted.co.kr/wd/214267
541,원스토어,상품 관리 시스템 개발,https://www.wanted.co.kr/wd/214735
542,팀윙크,백엔드 엔지니어,https://www.wanted.co.kr/wd/202318
543,이파피루스,솔루션 엔지니어,https://www.wanted.co.kr/wd/177141
544,휴가중,React Native 모바일 앱 개발자 (3년 이상),https://www.wanted.co.kr/wd/200962
545,한우리아이티,솔루션 기술 영업(신입),https://www.wanted.co.kr/wd/211392
546,파마브로스,백엔드 엔지니어 (5년 이상),https://www.wanted.co.kr/wd/213656
547,패스트파이브,시니어 백엔드 개발자 (Java/Kotlin),https://www.wanted.co.kr/wd/171819
548,커넥티드 인사이트,머신 비전 SW개발자 (3년 이상),https://www.wanted.co.kr/wd/205982
549,앤서스랩코리아,[Platform]QA,https://www.wanted.co.kr/wd/196088
550,와따,(판교) 비전 SLAM 개발자,https://www.wanted.co.kr/wd/212251
551,뷰런테크놀로지,Perception Engineer,https://www.wanted.co.kr/wd/212692
552,제너럴커피코디네이터,React-Native 개발자,https://www.wanted.co.kr/wd/192618
553,앤서스랩코리아,[Platform]DevOps Engineer,https://www.wanted.co.kr/wd/201360
554,비즈테크아이,클라우드 아키텍트(5년 이상),https://www.wanted.co.kr/wd/189969
555,노타(Nota),Quantization Research Engineer,https://www.wanted.co.kr/wd/134520
556,모요,Backend Developer (5년 이상),https://www.wanted.co.kr/wd/142792
557,강남언니(힐링페이퍼),머신러닝 엔지니어 (전문연구요원),https://www.wanted.co.kr/wd/207043
558,트립비토즈(tripbtoz),정보보안 담당자,https://www.wanted.co.kr/wd/202673
559,이지스엔터프라이즈,[DX팀] 백엔드 개발자 (시니어),https://www.wanted.co.kr/wd/203285
560,투애니쓰리랩스,Senior DevOps Engineer,https://www.wanted.co.kr/wd/207744
561,네이션에이,[AI R&D] ML Engineer,https://www.wanted.co.kr/wd/191546
562,위메이드(WEMADE),DevOps 엔지니어,https://www.wanted.co.kr/wd/199722
563,띵스파이어,머신러닝 개발자 - DL/ML 기반 데이터 분석 (3년이상),https://www.wanted.co.kr/wd/207290
564,로앤컴퍼니(lawtalk),신규 프로덕트 풀스택 엔지니어 (7년 이상),https://www.wanted.co.kr/wd/201848
565,파수,보안 운영 관리자,https://www.wanted.co.kr/wd/208618
566,피어테크(지닥),품질관리(QA/QC) 담당자,https://www.wanted.co.kr/wd/212037
567,Electronic Arts Korea (EA Korea),Quality Designer,https://www.wanted.co.kr/wd/204409
568,엔닷라이트,웹 서비스 프론트엔드 개발자 (6년 이상),https://www.wanted.co.kr/wd/197727
569,씨제이대한통운(CJ대한통운),로봇 IT 시스템 개발,https://www.wanted.co.kr/wd/214947
570,클래스팅(Classting),Site Reliability Engineer,https://www.wanted.co.kr/wd/183531
571,멀티캠퍼스,SW Architect,https://www.wanted.co.kr/wd/208350
572,버킷플레이스(오늘의집),Technical Program Manager,https://www.wanted.co.kr/wd/206774
573,에이럭스,"소프트웨어 개발 엔지니어 (웹, PHP)",https://www.wanted.co.kr/wd/212891
574,트랄라랩,[Blockchain] Backend Engineer (1년 이상),https://www.wanted.co.kr/wd/213705
575,핵클(Hackle),데이터 엔지니어,https://www.wanted.co.kr/wd/159253
576,오케스트로,Platform Service Product Manager,https://www.wanted.co.kr/wd/180324
577,모빌린트,[200억↑투자] Software Engineer,https://www.wanted.co.kr/wd/101919
578,니어스랩,소프트웨어 엔지니어(로보틱스 퍼셉션),https://www.wanted.co.kr/wd/214686
579,이글루코퍼레이션,보안솔루션 기술지원 엔지니어 (1년 이상),https://www.wanted.co.kr/wd/214604
580,퀀팃,크로스플랫폼 엔지니어,https://www.wanted.co.kr/wd/207291
581,아틀라스네트웍스,System engineer,https://www.wanted.co.kr/wd/72918
582,컬리,[컬리페이] 데이터 엔지니어,https://www.wanted.co.kr/wd/214448
583,썬더소프트코리아,카메라 튜닝 담당자 (1~15년),https://www.wanted.co.kr/wd/211061
584,아이엠에스이,백앤드 서비스 개발자,https://www.wanted.co.kr/wd/205819
585,보스반도체,오토모티브 SW 신입 개발,https://www.wanted.co.kr/wd/142135
586,제네시스랩,[200억↑투자] Applied AI Scientist_MLOps (2년 이상),https://www.wanted.co.kr/wd/146859
587,이그레브,시니어 풀스택 개발자,https://www.wanted.co.kr/wd/211540
588,클래스팅(Classting),DevOps 엔지니어 (3년 이상),https://www.wanted.co.kr/wd/140777
589,유브릿지,"Linux, Android, VxWorks OS 소프트웨어 개발",https://www.wanted.co.kr/wd/155415
590,스니커즈,[스트릿 캐스터] 시니어 Back-end 개발자,https://www.wanted.co.kr/wd/212155
591,바이와이제이,VA스타일 PHP 개발자,https://www.wanted.co.kr/wd/193151
592,보스반도체,ADAS NPU AI SW 개발,https://www.wanted.co.kr/wd/142164
593,다임리서치,[100억↑투자] 프로젝트 매니저 (솔루션 구축),https://www.wanted.co.kr/wd/128796
594,브이엠에스솔루션스,"SaaS(생산관리,Planning & Scheduling)서비스 운영 개발(3~6년 이하)",https://www.wanted.co.kr/wd/213594
595,랭디,프로덕트 매니저(1년 이상),https://www.wanted.co.kr/wd/201822
596,퀸텟시스템즈,R&D팀 프론트 개발자,https://www.wanted.co.kr/wd/211713
597,지바이크(gbike),[100억↑투자] Back-end 개발자,https://www.wanted.co.kr/wd/193258
598,와따,C# 응용프로그램 개발자,https://www.wanted.co.kr/wd/78002
599,포티투닷(42dot),Backend Engineer (Service Platform),https://www.wanted.co.kr/wd/193872
600,포티투닷(42dot),Software Configuration Manager,https://www.wanted.co.kr/wd/195832
601,프롬나드에이아이,시니어 프론트앤드 개발자,https://www.wanted.co.kr/wd/206655
602,하이,[Web3]크로스체인 블록체인 백엔드 개발자,https://www.wanted.co.kr/wd/193517
